FAMSIZE,ELDCH,SEX,AGE,MARST,BIRTHYR,MARRNO,MARRINYR,YRMARR,DIVINYR,WIDINYR,RACE,HISPAN,SPEAKENG,RACNUM,HCOVANY,HCOVPRIV,HINSEMP,HINSPUR,HCOVPUB,HINSCAID,HINSCARE,HINSVA,HINSIHS,EDUC,EMPSTAT,LABFORCE,CLASSWKR,WKSWORK2,UHRSWORK,WRKLSTWK,ABSENT,LOOKING,AVAILBLE,WORKEDYR,INCTOT,FTOTINC,INCWAGE,INCBUS00,INCWELFR,VETDISAB,DIFFHEAR,VETSTAT,VETSTATD,VET01LTR,VET90X01,VET75X90,VETVIETN,VET55X64,VETKOREA,VET47X50,VETWWII,VETOTHER,TRANWORK,CARPOOL,RIDERS,TRANTIME,DEPARTS,ARRIVES,GCHOUSE,GCMONTHS,GCRESPON
2,42,2,72,4,1942,2,1,1985,1,1,1,1,3,1,2,2,2,1,2,1,2,1,1,7,1,2,1,4,18,2,1,1,4,3,9300,9300,0,7000,0,0,1,1,11,0,0,0,0,0,0,0,0,0,10,1,1,10,902,914,1,0,0
1,99,2,93,5,1921,1,1,1959,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,5,3,1,0,0,0,1,4,1,5,1,14730,14730,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,1,71,1,1943,2,1,1993,1,1,1,0,3,1,2,2,1,2,1,1,1,1,1,10,3,1,0,0,0,1,1,1,5,1,39200,53600,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,65,2,1949,2,1,1984,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,6,3,1,2,0,0,1,1,1,5,2,12000,12000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,1,89,2,1925,1,1,1973,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,6,3,1,0,0,0,1,1,1,5,1,3600,3600,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,99,2,72,4,1942,2,1,1972,1,1,1,0,3,1,2,1,1,1,2,1,2,1,1,6,3,1,0,0,0,3,4,3,5,1,6840,6840,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,78,1,1936,1,1,1983,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,6,3,1,2,0,0,1,4,3,5,2,14140,27140,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,71,1,1943,1,1,1969,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,8,3,1,0,0,0,1,1,1,5,1,16900,82200,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,77,1,1937,1,1,1955,1,1,1,0,3,1,2,2,1,2,2,1,2,1,1,3,3,1,0,0,0,1,1,1,5,1,13600,247000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,99,1,72,6,1942,0,0,0,0,0,1,0,3,1,2,2,1,2,2,1,2,1,1,3,3,1,0,0,0,1,1,1,5,1,16000,28000,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,1,76,1,1938,2,1,1982,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,8,3,1,2,0,0,1,1,1,5,2,57000,160400,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,1,89,1,1925,1,1,1951,1,1,1,0,3,1,2,2,2,1,2,1,2,1,1,6,3,1,0,0,0,1,4,3,5,1,224400,231000,0,0,0,0,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,99,2,66,6,1948,0,0,0,0,0,1,0,4,1,2,1,1,1,2,1,2,1,1,7,3,1,2,0,0,1,1,1,5,2,29600,65700,0,0,0,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
